ds,y
2019/8/10,294.8
2019/8/11,299
2019/8/12,308.7
2019/8/13,313.8
2019/8/14,316.3
2019/8/15,316.9
2019/8/16,314.6
2019/8/17,311.8
2019/8/18,321.9
2019/8/19,335.2
2019/8/20,301.3
2019/8/21,317.3
2019/8/22,318.3
2019/8/23,320
2019/8/24,316.8
2019/8/25,326.5
2019/8/26,330.9
2019/8/27,334.1
2019/8/28,336
2019/8/29,338.1
2019/8/30,337.5
2019/8/31,328.6
2019/9/1,336.5
2019/9/2,345.3
2019/9/3,348.4
2019/9/4,342.5
2019/9/5,342.1
2019/9/6,341.5
2019/9/7,328.8
2019/9/8,340.4
2019/9/9,341.4
2019/9/10,299.5
2019/9/11,302.7
2019/9/12,297.3
2019/9/13,311.22576
2019/9/14,311
2019/9/15,295.6
2019/9/16,305.3
2019/9/17,306.8
2019/9/18,306.4
2019/9/19,304.6
2019/9/20,309.7
2019/9/21,303.3
2019/9/22,310
2019/9/23,320.3
2019/9/24,319.4
2019/9/25,319.8
2019/9/26,318
2019/9/27,310.7
2019/9/28,309.3
2019/9/29,308.3
2019/9/30,293.3
2019/10/1,307.08521
2019/10/2,306.83496
2019/10/3,306.6
2019/10/4,306.4087
2019/10/5,306.14633
2019/10/6,305.8787
2019/10/7,282.7
2019/10/8,291.5
2019/10/9,292.2
2019/10/10,292.9
2019/10/11,292.6
2019/10/12,291.1
2019/10/13,291.1
2019/10/14,301
2019/10/15,301
2019/10/16,299.9
2019/10/17,291.3
2019/10/18,297.6
2019/10/19,293.3
2019/10/20,305.3
2019/10/21,306.9
2019/10/22,304.8
2019/10/23,303.4
2019/10/24,291.6
2019/10/25,296.1
2019/10/26,293.6
2019/10/27,298.9
2019/10/28,297.7
2019/10/29,299.4
2019/10/30,301.8
2019/10/31,304.2
2019/11/1,300.1
2019/11/2,285.5
2019/11/3,290.3
2019/11/4,299.7
2019/11/5,295.7
2019/11/6,295.1
2019/11/7,301.1
2019/11/8,301.8
2019/11/9,294
2019/11/10,293
2019/11/11,297.1
2019/11/12,296.1
2019/11/13,289.7
2019/11/14,293.1
2019/11/15,293.4
2019/11/16,287.3
2019/11/17,294.5
2019/11/18,294.4
2019/11/19,293.8
2019/11/20,292.2
2019/11/21,289.2
2019/11/22,288.7
2019/11/23,285.1
2019/11/24,291.1
2019/11/25,288.7
2019/11/26,285.6
2019/11/27,284.7
2019/11/28,283.8
2019/11/29,282.4
2019/11/30,276
2019/12/1,288.2
2019/12/2,285.5
2019/12/3,283.7
2019/12/4,283.5
2019/12/5,281.3
2019/12/6,279.5
2019/12/7,276.9
2019/12/8,281.8
2019/12/9,283.7
2019/12/10,280.9
2019/12/11,280.8
2019/12/12,280.1
2019/12/13,281
2019/12/14,276
2019/12/15,280.9
2019/12/16,277.4
2019/12/17,280.5
2019/12/18,279.6
2019/12/19,278.4
2019/12/20,277.6
2019/12/21,274.1
2019/12/22,280.2
2019/12/23,281
2019/12/24,276.8
2019/12/25,279.3
2019/12/26,279.3
2019/12/27,278.7
2019/12/28,272.7
2019/12/29,278.5
2019/12/30,276.1
2019/12/31,272.1
2020/1/1,271
2020/1/2,277.5
2020/1/3,276.7
2020/1/4,272.3
2020/1/5,276.6
2020/1/6,274.5
2020/1/7,276.8
2020/1/8,278
2020/1/9,276.9
2020/1/10,276.6
2020/1/11,270.4
2020/1/12,277.6
2020/1/13,276.4
2020/1/14,273.5
2020/1/15,270.1
2020/1/16,269.9
2020/1/17,266.8
2020/1/18,264.4
2020/1/19,261.9
2020/1/20,256.3
2020/1/21,249.3
2020/1/22,242.3
2020/1/23,237.4
2020/1/24,215.7
2020/1/25,193.5
2020/1/26,195.3
2020/1/27,197.8
2020/1/28,202.3
2020/1/29,205.6
2020/1/30,208.6
2020/1/31,211.5
2020/2/1,212.6
2020/2/2,210.7
2020/2/3,218
2020/2/4,219.2
2020/2/5,215.4
2020/2/6,215.3
